AID,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,AID_type,PUBCHEM_ACTIVITY_SCORE,activity_added,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,IC50 (mm),Selectivity,Inhibition (%),Ki (mm),Kd (mm),Activity (%),Standard Units,Activity Comment,target_name,Data Validity Comment,pKd_min,pKd_max,pIC50_min,pIC50_max,Type,Action,Reference (PubMed ID),IC50,Target Accession(s),Ligand,Target,IC50 Qualifier,Enzyme Activity [1],Enzyme Activity [2],Average Enzyme Activity,Panel ID,Panel Name,Panel Target,%Inhibition,High Concentration (5 x IC50),Low Concentration (IC50 / 2),Qualifier,% Degradation,Kd Qualifier,Kd,qualifier,pKi,Activity Qualifier,EC50 Qualifier,EC50
493040,103904316,49830361,Inactive,other,,unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,need to check,,,,,,,,,,,,,,,,,70.0,ERBB2,2064,,,,,,,,<,5.8,,,
493040,103904320,49830364,Inactive,other,,unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,need to check,,,,,,,,,,,,,,,,,70.0,ERBB2,2064,,,,,,,,<,5.8,,,
493040,103904330,49830368,Inactive,other,,unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,need to check,,,,,,,,,,,,,,,,,70.0,ERBB2,2064,,,,,,,,<,5.8,,,
493040,103904331,49830369,Inactive,other,,unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,need to check,,,,,,,,,,,,,,,,,70.0,ERBB2,2064,,,,,,,,<,5.8,,,
493040,103904334,49830370,Inactive,other,,unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,need to check,,,,,,,,,,,,,,,,,70.0,ERBB2,2064,,,,,,,,<,5.8,,,
493040,103904349,49830375,Inactive,other,,unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,need to check,,,,,,,,,,,,,,,,,70.0,ERBB2,2064,,,,,,,,<,5.8,,,
493040,103904352,49830377,Inactive,other,,unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,need to check,,,,,,,,,,,,,,,,,70.0,ERBB2,2064,,,,,,,,<,5.8,,,
493040,103904353,49830378,Inactive,other,,unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,need to check,,,,,,,,,,,,,,,,,70.0,ERBB2,2064,,,,,,,,<,5.8,,,
493040,103904356,49830379,Inactive,other,,unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,need to check,,,,,,,,,,,,,,,,,70.0,ERBB2,2064,,,,,,,,<,5.8,,,
493040,103904361,49830381,Inactive,other,,unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,need to check,,,,,,,,,,,,,,,,,70.0,ERBB2,2064,,,,,,,,<,5.8,,,
493040,103904363,49830382,Inactive,other,,unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,need to check,,,,,,,,,,,,,,,,,70.0,ERBB2,2064,,,,,,,,<,5.8,,,
493040,103904364,49830383,Inactive,other,,unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,need to check,,,,,,,,,,,,,,,,,70.0,ERBB2,2064,,,,,,,,<,5.8,,,
493040,103904371,49830384,Inactive,other,,unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,need to check,,,,,,,,,,,,,,,,,70.0,ERBB2,2064,,,,,,,,<,5.8,,,
493040,103904379,49830386,Inactive,other,,unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,need to check,,,,,,,,,,,,,,,,,70.0,ERBB2,2064,,,,,,,,<,5.8,,,
493040,103904383,49830387,Inactive,other,,unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,need to check,,,,,,,,,,,,,,,,,70.0,ERBB2,2064,,,,,,,,<,5.8,,,
493040,103904384,49830388,Inactive,other,,unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,need to check,,,,,,,,,,,,,,,,,70.0,ERBB2,2064,,,,,,,,<,5.8,,,
493040,103904358,49830380,Inactive,other,,unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,need to check,,,,,,,,,,,,,,,,,70.0,ERBB2,2064,,,,,,,,<,5.8,,,
493040,103904313,49830358,Inactive,other,,unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,need to check,,,,,,,,,,,,,,,,,70.0,ERBB2,2064,,,,,,,,<,5.8,,,
493040,103904196,49830278,Inactive,other,,unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,need to check,,,,,,,,,,,,,,,,,70.0,ERBB2,2064,,,,,,,,<,5.8,,,
493040,103904197,49830279,Inactive,other,,unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,need to check,,,,,,,,,,,,,,,,,70.0,ERBB2,2064,,,,,,,,<,5.8,,,
493040,103904202,49830281,Inactive,other,,unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,need to check,,,,,,,,,,,,,,,,,70.0,ERBB2,2064,,,,,,,,<,5.8,,,
493040,103904204,49830282,Inactive,other,,unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,need to check,,,,,,,,,,,,,,,,,70.0,ERBB2,2064,,,,,,,,<,5.8,,,
493040,103904206,49830283,Inactive,other,,unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,need to check,,,,,,,,,,,,,,,,,70.0,ERBB2,2064,,,,,,,,<,5.8,,,
493040,103904209,49830286,Inactive,other,,unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,need to check,,,,,,,,,,,,,,,,,70.0,ERBB2,2064,,,,,,,,<,5.8,,,
